Occupation,Total Employed (thou) 2013,% Men 2013,% Women 2013,% White 2013,% Black 2013,% Asian 2013,% Latinx 2013
"Production, transportation, and material moving occupations","16,984",,21.4,,14.9,4.7,21.9
Production occupations,"8,275",,27.6,,12.3,6.3,22.5
First-line supervisors of production and operating workers,731,,18.6,,9.5,4.9,14.4
"Aircraft structure, surfaces, rigging, and systems assemblers",14,,-,,-,-,-
"Electrical, electronics, and electromechanical assemblers",141,,47,,11.4,18.2,21.3
Engine and other machine assemblers,20,,-,,-,-,-
Structural metal fabricators and fitters,23,,-,,-,-,-
Miscellaneous assemblers and fabricators,"1,013",,37,,16.5,7.7,19.6
Bakers,207,,59.8,,9,7.1,25.9
"Butchers and other meat, poultry, and fish processing workers",323,,25.5,,14.8,11.2,34.7
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,,-,,-,-,-
Food batchmakers,93,,51.4,,8.4,4.4,28.2
Food cooking machine operators and tenders,9,,-,,-,-,-
"Food processing workers, all other",123,,31.4,,11.5,7.7,33.8
Computer control programmers and operators,85,,5.1,,3.6,2.3,12.6
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,,-,,-,-,-
"Forging machine setters, operators, and tenders, metal and plastic",8,,-,,-,-,-
"Rolling machine setters, operators, and tenders, metal and plastic",4,,-,,-,-,-
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",76,,16.4,,8.9,2.8,24.7
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",1,,-,,-,-,-
"Grinding, lapping, polishing, and buffing machine tool setters, operators,",57,,14.2,,9.1,5.1,25.8
"and tenders, metal and plastic",,,,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",11,,-,,-,-,-
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,,-,,-,-,-
Machinists,398,,5.3,,4.4,6.3,15.1
"Metal furnace operators, tenders, pourers, and casters",24,,-,,-,-,-
"Model makers and patternmakers, metal and plastic",7,,-,,-,-,-
"Molders and molding machine setters, operators, and tenders, metal and plastic",50,,25.6,,3.6,1.1,23.5
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,,-,,-,-,-
Tool and die makers,53,,0.3,,0.9,1.1,4.4
"Welding, soldering, and brazing workers",575,,4.6,,8.1,3.3,22.9
"Heat treating equipment setters, operators, and tenders, metal and plastic",9,,-,,-,-,-
"Layout workers, metal and plastic",5,,-,,-,-,-
"Plating and coating machine setters, operators, and tenders, metal and plastic",18,,-,,-,-,-
"Tool grinders, filers, and sharpeners",5,,-,,-,-,-
"Metal workers and plastic workers, all other",338,,22,,17.2,6.1,25.3
Prepress technicians and workers,29,,-,,-,-,-
Printing press operators,193,,18.1,,7.4,4.2,18.1
Print binding and finishing workers,26,,-,,-,-,-
Laundry and dry-cleaning workers,167,,60.1,,20.6,6.1,42.5
"Pressers, textile, garment, and related materials",55,,55.7,,27.6,4.7,52.6
Sewing machine operators,158,,76.1,,12.1,17.3,41.4
Shoe and leather workers and repairers,15,,-,,-,-,-
Shoe machine operators and tenders,2,,-,,-,-,-
"Tailors, dressmakers, and sewers",84,,72,,9.7,21.8,24.6
Textile bleaching and dyeing machine operators and tenders,2,,-,,-,-,-
"Textile cutting machine setters, operators, and tenders",6,,-,,-,-,-
"Textile knitting and weaving machine setters, operators, and tenders",6,,-,,-,-,-
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",16,,-,,-,-,-
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1,,-,,-,-,-
Fabric and apparel patternmakers,1,,-,,-,-,-
Upholsterers,35,,-,,-,-,-
"Textile, apparel, and furnishings workers, all other",14,,-,,-,-,-
Cabinetmakers and bench carpenters,47,,-,,-,-,-
Furniture finishers,7,,-,,-,-,-
"Model makers and patternmakers, wood",0,,-,,-,-,-
"Sawing machine setters, operators, and tenders, wood",33,,-,,-,-,-
"Woodworking machine setters, operators, and tenders, except sawing",19,,-,,-,-,-
"Woodworkers, all other",19,,-,,-,-,-
"Power plant operators, distributors, and dispatchers",45,,-,,-,-,-
Stationary engineers and boiler operators,91,,5.8,,11.2,4.7,26.1
Water and wastewater treatment plant and system operators,68,,6.9,,9.1,3.1,15.2
Miscellaneous plant and system operators,37,,-,,-,-,-
"Chemical processing machine setters, operators, and tenders",54,,8.1,,5.2,2.5,11.7
"Crushing, grinding, polishing, mixing, and blending workers",87,,12.8,,13.3,5.3,22.1
Cutting workers,59,,24.2,,10.8,3.9,36.5
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",26,,-,,-,-,-
"Furnace, kiln, oven, drier, and kettle operators and tenders",15,,-,,-,-,-
"Inspectors, testers, sorters, samplers, and weighers",686,,32.8,,12.9,6.8,15.7
Jewelers and precious stone and metal workers,54,,45.1,,9.2,11.7,16.7
"Medical, dental, and ophthalmic laboratory technicians",85,,48.9,,4.9,6.3,15.7
Packaging and filling machine operators and tenders,304,,51.5,,19.7,9.6,37.4
Painting workers,147,,12.8,,8.8,3.1,31.8
Photographic process workers and processing machine operators,43,,-,,-,-,-
Semiconductor processors,2,,-,,-,-,-
Adhesive bonding machine operators and tenders,12,,-,,-,-,-
"Cleaning, washing, and metal pickling equipment operators and tenders",4,,-,,-,-,-
Cooling and freezing equipment operators and tenders,3,,-,,-,-,-
Etchers and engravers,7,,-,,-,-,-
"Molders, shapers, and casters, except metal and plastic",41,,-,,-,-,-
"Paper goods machine setters, operators, and tenders",24,,-,,-,-,-
Tire builders,21,,-,,-,-,-
Helpers--production workers,39,,-,,-,-,-
"Production workers, all other",933,,26.4,,15.7,5.2,22.5
Transportation and material moving occupations,"8,709",,15.5,,17.4,3.1,21.3
Supervisors of transportation and material moving workers,194,,21.4,,14.5,1.6,18.9
Aircraft pilots and flight engineers,135,,5.5,,3.4,3.7,4.5
Air traffic controllers and airfield operations specialists,40,,-,,-,-,-
Flight attendants,89,,80.9,,12.4,4.9,10.1
"Ambulance drivers and attendants, except emergency medical technicians",17,,-,,-,-,-
Bus drivers,582,,45.7,,27.3,2.1,13.9
Driver/sales workers and truck drivers,"3,252",,5.2,,15.3,2.3,18.9
Taxi drivers and chauffeurs,338,,14.9,,24.7,11.7,14.3
"Motor vehicle operators, all other",74,,11.1,,11.4,2.8,20.7
Locomotive engineers and operators,58,,6.1,,10.3,2.4,12.2
"Railroad brake, signal, and switch operators",10,,-,,-,-,-
Railroad conductors and yardmasters,50,,6.4,,17.7,1.5,9.3
"Subway, streetcar, and other rail transportation workers",9,,-,,-,-,-
Sailors and marine oilers,30,,-,,-,-,-
Ship and boat captains and operators,40,,-,,-,-,-
Ship engineers,4,,-,,-,-,-
Bridge and lock tenders,5,,-,,-,-,-
Parking lot attendants,88,,12.9,,22,4.3,37.9
Automotive and watercraft service attendants,92,,11.9,,11.4,7.7,19.7
Transportation inspectors,45,,-,,-,-,-
"Transportation attendants, except flight attendants",37,,-,,-,-,-
Other transportation workers,21,,-,,-,-,-
Conveyor operators and tenders,5,,-,,-,-,-
Crane and tower operators,72,,0.7,,12.3,1.9,16
"Dredge, excavating, and loading machine operators",40,,-,,-,-,-
Hoist and winch operators,7,,-,,-,-,-
Industrial truck and tractor operators,557,,6.2,,20.7,1.9,30.9
Cleaners of vehicles and equipment,348,,15.4,,21.2,2.8,33.1
"Laborers and freight, stock, and material movers, hand","1,752",,17.9,,18,3.1,23.1
Machine feeders and offbearers,21,,-,,-,-,-
"Packers and packagers, hand",493,,49.4,,18,4.6,37.7
Pumping station operators,30,,-,,-,-,-
Refuse and recyclable material collectors,108,,4.8,,15.3,1.8,24.7
Mine shuttle car operators,4,,-,,-,-,-
"Tank car, truck, and ship loaders",7,,-,,-,-,-
"Material moving workers, all other",51,,13.1,,20.8,0.8,22
