Occupation,Total Employed (thou) 2017,% Men 2017,% Women 2017,% White 2017,% Black 2017,% Asian 2017,% Latinx 2017
Other extraction workers,54,,2.9,93.1,2.0,0.0,35.7
"Installation, maintenance, and repair occupations","4,977",,4.0,85.0,8.6,3.3,19.0
"First-line supervisors of mechanics, installers, and repairers",253,,8.4,84.0,9.4,4.1,12.8
"Computer, automated teller, and office machine repairers",212,,11.3,73.8,12.7,10.2,17.1
Radio and telecommunications equipment installers and repairers,134,,8.1,85.3,7.3,6.1,19.7
Avionics technicians,9,,–,–,–,–,–
"Electric motor, power tool, and related repairers",28,,–,–,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",1,,–,–,–,–,–
"Electrical and electronics repairers, industrial and utility",12,,–,–,–,–,–
"Electronic equipment installers and repairers, motor vehicles",11,,–,–,–,–,–
Electronic home entertainment equipment installers and repairers,50,,2.8,81.9,14.2,3.7,26.5
Security and fire alarm systems installers,77,,2.6,78.4,11.0,5.8,24.1
Aircraft mechanics and service technicians,150,,5.2,83.0,5.6,7.8,13.9
Automotive body and related repairers,140,,1.1,86.0,6.1,2.9,31.6
Automotive glass installers and repairers,22,,–,–,–,–,–
Automotive service technicians and mechanics,902,,2.4,84.1,8.7,3.8,23.2
Bus and truck mechanics and diesel engine specialists,401,,1.8,85.6,9.4,1.3,18.1
Heavy vehicle and mobile equipment service technicians and mechanics,201,,2.6,91.8,4.5,1.4,11.5
Small engine mechanics,44,,–,–,–,–,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and   repairers",83,,1.8,85.6,7.5,4.4,32.2
Control and valve installers and repairers,26,,–,–,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers",448,,2.0,90.6,5.4,2.4,17.9
Home appliance repairers,41,,–,–,–,–,–
Industrial and refractory machinery mechanics,424,,3.9,85.8,7.8,3.4,16.5
"Maintenance and repair workers, general",528,,4.5,85.9,8.9,2.1,19.7
"Maintenance workers, machinery",27,,–,–,–,–,–
Millwrights,40,,–,–,–,–,–
Electrical power-line installers and repairers,129,,0.6,89.8,7.8,0.0,11.6
Telecommunications line installers and repairers,189,,2.7,78.3,18.4,1.7,19.1
Precision instrument and equipment repairers,63,,14.6,80.9,14.7,1.4,10.9
Wind turbine service technicians,5,,–,–,–,–,–
"Coin, vending, and amusement machine servicers and repairers",34,,–,–,–,–,–
Commercial divers,0,,–,–,–,–,–
Locksmiths and safe repairers,35,,–,–,–,–,–
Manufactured building and mobile home installers,4,,–,–,–,–,–
Riggers,14,,–,–,–,–,–
Signal and track switch repairers,9,,–,–,–,–,–
"Helpers--installation, maintenance, and repair workers",18,,–,–,–,–,–
"Other installation, maintenance, and repair workers",215,,5.9,86.7,6.4,2.3,23.5
,,,,,,,
"Production, transportation, and material moving occupations","17,927",,22.8,74.2,16.6,5.3,22.2
Production occupations,"8,482",,28.9,76.8,13.3,6.2,22.8
First-line supervisors of production and operating workers,768,,19.1,82.2,10.4,3.7,16.7
"Aircraft structure, surfaces, rigging, and systems assemblers",1,,–,–,–,–,–
"Electrical, electronics, and electromechanical assemblers",128,,42.1,63.5,15.3,17.2,18.2
Engine and other machine assemblers,13,,–,–,–,–,–
Structural metal fabricators and fitters,30,,–,–,–,–,–
Miscellaneous assemblers and fabricators,"1,033",,37.7,68.0,20.8,8.0,18.9
Bakers,215,,60.1,71.3,15.6,8.5,31.5
"Butchers and other meat, poultry, and fish processing workers",269,,24.3,68.5,19.8,7.2,35.3
"Food and tobacco roasting, baking, and drying machine operators and tenders",12,,–,–,–,–,–
Food batchmakers,89,,58.1,77.2,12.4,6.6,26.2
Food cooking machine operators and tenders,15,,–,–,–,–,–
"Food processing workers, all other",175,,32.5,62.8,24.1,7.0,37.3
Computer control programmers and operators,99,,9.8,82.8,9.8,5.6,10.7
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",19,,–,–,–,–,–
"Forging machine setters, operators, and tenders, metal and plastic",8,,–,–,–,–,–
"Rolling machine setters, operators, and tenders, metal and plastic",8,,–,–,–,–,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",80,,11.0,82.6,10.0,4.7,12.5
"Drilling and boring machine tool setters, operators, and tenders, metal	and plastic",4,,–,–,–,–,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38,,–,–,–,–,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",14,,–,–,–,–,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,,–,–,–,–,–
Machinists,366,,5.0,86.1,4.4,6.3,13.9
"Metal furnace operators, tenders, pourers, and casters",19,,–,–,–,–,–
"Model makers and patternmakers, metal and plastic",5,,–,–,–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",45,,–,–,–,–,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,,–,–,–,–,–
Tool and die makers,62,,3.2,97.6,1.1,0.7,6.9
"Welding, soldering, and brazing workers",600,,4.5,87.4,7.5,1.1,24.3
"Heat treating equipment setters, operators, and tenders, metal and plastic",3,,–,–,–,–,–
"Layout workers, metal and plastic",12,,–,–,–,–,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",17,,–,–,–,–,–
"Tool grinders, filers, and sharpeners",6,,–,–,–,–,–
"Metal workers and plastic workers, all other",388,,20.5,71.1,14.9,9.5,23.1
Prepress technicians and workers,24,,–,–,–,–,–
Printing press operators,173,,17.7,85.0,6.6,5.8,22.2
Print binding and finishing workers,11,,–,–,–,–,–
Laundry and dry-cleaning workers,151,,68.0,66.1,18.5,8.0,38.7
"Pressers, textile, garment, and related materials",30,,–,–,–,–,–
Sewing machine operators,197,,73.2,72.0,8.0,16.0,42.2
Shoe and leather workers and repairers,5,,–,–,–,–,–
Shoe machine operators and tenders,5,,–,–,–,–,–
"Tailors, dressmakers, and sewers",77,,75.9,79.1,9.5,8.9,29.6
Textile bleaching and dyeing machine operators and tenders,1,,–,–,–,–,–
"Textile cutting machine setters, operators, and tenders",8,,–,–,–,–,–
"Textile knitting and weaving machine setters, operators, and tenders",19,,–,–,–,–,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",16,,–,–,–,–,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,,–,–,–,–,–
Fabric and apparel patternmakers,3,,–,–,–,–,–
Upholsterers,31,,–,–,–,–,–
"Textile, apparel, and furnishings workers, all other",18,,–,–,–,–,–
Cabinetmakers and bench carpenters,49,,–,–,–,–,–
Furniture finishers,15,,–,–,–,–,–
"Model makers and patternmakers, wood",1,,–,–,–,–,–
"Sawing machine setters, operators, and tenders, wood",27,,–,–,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",19,,–,–,–,–,–
"Woodworkers, all other",28,,–,–,–,–,–
"Power plant operators, distributors, and dispatchers",38,,–,–,–,–,–
Stationary engineers and boiler operators,76,,3.3,84.8,8.2,5.5,13.0
Water and wastewater treatment plant and system operators,107,,3.8,90.2,6.3,1.0,11.5
Miscellaneous plant and system operators,42,,–,–,–,–,–
"Chemical processing machine setters, operators, and tenders",55,,5.7,79.3,15.7,3.0,15.8
"Crushing, grinding, polishing, mixing, and blending workers",72,,14.0,75.4,15.3,2.2,15.0
Cutting workers,62,,25.3,78.7,12.4,5.2,30.1
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",21,,–,–,–,–,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,,–,–,–,–,–
"Inspectors, testers, sorters, samplers, and weighers",793,,37.9,74.7,13.6,8.8,18.9
Jewelers and precious stone and metal workers,43,,–,–,–,–,–
"Medical, dental, and ophthalmic laboratory technicians",70,,63.1,73.3,14.6,9.7,14.4
Packaging and filling machine operators and tenders,292,,52.8,68.5,17.6,9.2,41.8
Painting workers,157,,12.6,82.1,9.6,2.5,32.9
Photographic process workers and processing machine operators,31,,–,–,–,–,–
Semiconductor processors,3,,–,–,–,–,–
Adhesive bonding machine operators and tenders,6,,–,–,–,–,–
"Cleaning, washing, and metal pickling equipment operators and tenders",11,,–,–,–,–,–
Cooling and freezing equipment operators and tenders,3,,–,–,–,–,–
Etchers and engravers,11,,–,–,–,–,–
"Molders, shapers, and casters, except metal and plastic",35,,–,–,–,–,–
"Paper goods machine setters, operators, and tenders",29,,–,–,–,–,–
Tire builders,10,,–,–,–,–,–
Helpers--production workers,50,,37.1,73.5,8.8,11.9,31.2
"Production workers, all other",995,,29.5,76.5,15.7,4.4,25.4
Transportation and material moving occupations,"9,445",,17.3,71.9,19.5,4.5,21.7
Supervisors of transportation and material moving workers,205,,19.5,74.0,18.4,4.0,17.4
Aircraft pilots and flight engineers,120,,6.2,94.9,1.8,1.5,8.0
Air traffic controllers and airfield operations specialists,17,,–,–,–,–,–
Flight attendants,98,,72.9,71.6,15.1,10.1,18.4
"Ambulance drivers and attendants, except emergency medical technicians",11,,–,–,–,–,–
Bus drivers,578,,47.8,65.9,26.7,4.8,12.6
Driver/sales workers and truck drivers,"3,506",,6.2,76.3,16.6,3.2,20.8
Taxi drivers and chauffeurs,674,,18.9,55.0,28.4,12.8,17.0
"Motor vehicle operators, all other",76,,17.5,72.6,19.4,4.8,14.7
Locomotive engineers and operators,42,,–,–,–,–,–
"Railroad brake, signal, and switch operators",4,,–,–,–,–,–
Railroad conductors and yardmasters,50,,5.2,73.8,17.6,5.3,8.4
"Subway, streetcar, and other rail transportation workers",15,,–,–,–,–,–
Sailors and marine oilers,19,,–,–,–,–,–
Ship and boat captains and operators,35,,–,–,–,–,–
Ship engineers,2,,–,–,–,–,–
Bridge and lock tenders,5,,–,–,–,–,–
Parking lot attendants,95,,16.7,67.4,23.3,6.7,38.4
Automotive and watercraft service attendants,94,,8.8,73.6,9.6,8.9,21.1
Transportation inspectors,41,,–,–,–,–,–
"Transportation attendants, except flight attendants",35,,–,–,–,–,–
Other transportation workers,24,,–,–,–,–,–
Conveyor operators and tenders,1,,–,–,–,–,–
Crane and tower operators,53,,4.1,76.8,20.9,0.1,10.5
"Dredge, excavating, and loading machine operators",30,,–,–,–,–,–
Hoist and winch operators,7,,–,–,–,–,–
Industrial truck and tractor operators,611,,8.2,69.4,25.0,1.8,25.7
Cleaners of vehicles and equipment,331,,14.0,69.7,20.7,3.0,33.3
"Laborers and freight, stock, and material movers, hand","1,930",,19.9,70.2,20.2,3.8,22.2
Machine feeders and offbearers,31,,–,–,–,–,–
"Packers and packagers, hand",539,,52.7,69.9,18.9,8.4,41.8
Pumping station operators,21,,–,–,–,–,–
Refuse and recyclable material collectors,94,,11.7,70.2,26.8,2.1,24.2
Mine shuttle car operators,0,,–,–,–,–,–
"Tank car, truck, and ship loaders",6,,–,–,–,–,–
"Material moving workers, all other",40,,–,–,–,–,–
,,,,,,,
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,
