Occupation,Total Employed (thou) 2015,% Men 2015,% Women 2015,% White 2015,% Black 2015,% Asian 2015,% Latinx 2015
"Production, transportation, and material moving occupations","17,647",,21.8,,15.3,4.7,22.3
Production occupations,"8,522",,28.8,,12.5,6.2,22.3
First-line supervisors of production and operating workers,817,,18.6,,8,4.6,16.3
"Aircraft structure, surfaces, rigging, and systems assemblers",14,,–,,–,–,–
"Electrical, electronics, and electromechanical assemblers",133,,51.4,,16.9,22,22.5
Engine and other machine assemblers,11,,–,,–,–,–
Structural metal fabricators and fitters,32,,–,,–,–,–
Miscellaneous assemblers and fabricators,"1,026",,38.6,,16.1,6.9,22.2
Bakers,231,,60.8,,15.4,9.6,23.5
"Butchers and other meat, poultry, and fish processing workers",302,,25.7,,22.4,8,35.4
"Food and tobacco roasting, baking, and drying machine operators and tenders",14,,–,,–,–,–
Food batchmakers,101,,72.3,,14.1,7,29.6
Food cooking machine operators and tenders,13,,–,,–,–,–
"Food processing workers, all other",135,,34.2,,16.6,7.6,35.1
Computer control programmers and operators,88,,3.9,,8.4,3.7,9.8
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",9,,–,,–,–,–
"Forging machine setters, operators, and tenders, metal and plastic",8,,–,,–,–,–
"Rolling machine setters, operators, and tenders, metal and plastic",15,,–,,–,–,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",82,,21.6,,20.1,1.4,14.5
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",5,,–,,–,–,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51,,10.3,,11.5,0.2,29
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",11,,–,,–,–,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",0,,–,,–,–,–
Machinists,363,,6.7,,3.1,6.1,13.8
"Metal furnace operators, tenders, pourers, and casters",30,,–,,–,–,–
"Model makers and patternmakers, metal and plastic",5,,–,,–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",46,,–,,–,–,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",1,,–,,–,–,–
Tool and die makers,47,,–,,–,–,–
"Welding, soldering, and brazing workers",615,,4.2,,7.1,3.3,23.1
"Heat treating equipment setters, operators, and tenders, metal and plastic",5,,–,,–,–,–
"Layout workers, metal and plastic",5,,–,,–,–,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",23,,–,,–,–,–
"Tool grinders, filers, and sharpeners",6,,–,,–,–,–
"Metal workers and plastic workers, all other",376,,22.5,,17.6,6.3,22.6
Prepress technicians and workers,22,,–,,–,–,–
Printing press operators,180,,20,,9,3.6,22.7
Print binding and finishing workers,20,,–,,–,–,–
Laundry and dry-cleaning workers,192,,60.8,,17.7,10.8,31.8
"Pressers, textile, garment, and related materials",34,,–,,–,–,–
Sewing machine operators,196,,74.8,,9.7,12.4,41.8
Shoe and leather workers and repairers,7,,–,,–,–,–
Shoe machine operators and tenders,2,,–,,–,–,–
"Tailors, dressmakers, and sewers",83,,82.2,,5.3,17.1,22.2
Textile bleaching and dyeing machine operators and tenders,3,,–,,–,–,–
"Textile cutting machine setters, operators, and tenders",9,,–,,–,–,–
"Textile knitting and weaving machine setters, operators, and tenders",9,,–,,–,–,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",9,,–,,–,–,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,,–,,–,–,–
Fabric and apparel patternmakers,4,,–,,–,–,–
Upholsterers,40,,–,,–,–,–
"Textile, apparel, and furnishings workers, all other",16,,–,,–,–,–
Cabinetmakers and bench carpenters,60,,7.9,,4.3,1.2,20.5
Furniture finishers,15,,–,,–,–,–
"Model makers and patternmakers, wood",1,,–,,–,–,–
"Sawing machine setters, operators, and tenders, wood",29,,–,,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",24,,–,,–,–,–
"Woodworkers, all other",31,,–,,–,–,–
"Power plant operators, distributors, and dispatchers",33,,–,,–,–,–
Stationary engineers and boiler operators,81,,3.4,,9.4,5.2,10.2
Water and wastewater treatment plant and system operators,89,,4.4,,7.1,1.5,6.5
Miscellaneous plant and system operators,36,,–,,–,–,–
"Chemical processing machine setters, operators, and tenders",63,,13,,4.3,0.4,10.6
"Crushing, grinding, polishing, mixing, and blending workers",86,,11,,10.5,3.1,37.2
Cutting workers,64,,16.7,,13.4,2.6,24.2
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",28,,–,,–,–,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",7,,–,,–,–,–
"Inspectors, testers, sorters, samplers, and weighers",752,,37.3,,12.5,6.9,17.7
Jewelers and precious stone and metal workers,44,,–,,–,–,–
"Medical, dental, and ophthalmic laboratory technicians",110,,48.6,,7.8,13.4,19.1
Packaging and filling machine operators and tenders,250,,49.9,,20.4,7.5,36.7
Painting workers,151,,12.9,,14.2,5.2,23
Photographic process workers and processing machine operators,33,,–,,–,–,–
Semiconductor processors,1,,–,,–,–,–
Adhesive bonding machine operators and tenders,11,,–,,–,–,–
"Cleaning, washing, and metal pickling equipment operators and tenders",4,,–,,–,–,–
Cooling and freezing equipment operators and tenders,4,,–,,–,–,–
Etchers and engravers,19,,–,,–,–,–
"Molders, shapers, and casters, except metal and plastic",27,,–,,–,–,–
"Paper goods machine setters, operators, and tenders",30,,–,,–,–,–
Tire builders,10,,–,,–,–,–
Helpers--production workers,40,,–,,–,–,–
"Production workers, all other",944,,25.5,,14.4,4.9,24.9
Transportation and material moving occupations,"9,125",,15.3,,17.8,3.4,22.4
Supervisors of transportation and material moving workers,205,,18.1,,15,1.6,20.6
Aircraft pilots and flight engineers,140,,9.4,,2.6,0.7,5.7
Air traffic controllers and airfield operations specialists,30,,–,,–,–,–
Flight attendants,86,,74.9,,12,4.5,9.8
"Ambulance drivers and attendants, except emergency medical technicians",19,,–,,–,–,–
Bus drivers,550,,47.1,,28,2.7,14.3
Driver/sales workers and truck drivers,"3,469",,5.1,,15.1,2.7,21.5
Taxi drivers and chauffeurs,446,,14.6,,27,15.1,17
"Motor vehicle operators, all other",51,,9.4,,14.2,5.5,21.5
Locomotive engineers and operators,50,,3.5,,21.3,1.4,8.2
"Railroad brake, signal, and switch operators",6,,–,,–,–,–
Railroad conductors and yardmasters,52,,7.7,,18.6,1.7,2.1
"Subway, streetcar, and other rail transportation workers",15,,–,,–,–,–
Sailors and marine oilers,11,,–,,–,–,–
Ship and boat captains and operators,35,,–,,–,–,–
Ship engineers,6,,–,,–,–,–
Bridge and lock tenders,5,,–,,–,–,–
Parking lot attendants,91,,10,,32.1,5.3,26.5
Automotive and watercraft service attendants,99,,11,,8.2,3.8,12.7
Transportation inspectors,29,,–,,–,–,–
"Transportation attendants, except flight attendants",22,,–,,–,–,–
Other transportation workers,43,,–,,–,–,–
Conveyor operators and tenders,7,,–,,–,–,–
Crane and tower operators,76,,3.4,,9.1,0.2,10.3
"Dredge, excavating, and loading machine operators",35,,–,,–,–,–
Hoist and winch operators,6,,–,,–,–,–
Industrial truck and tractor operators,589,,7.1,,21.6,2.3,25.9
Cleaners of vehicles and equipment,338,,11.1,,12.3,1.4,39.4
"Laborers and freight, stock, and material movers, hand","1,908",,17.6,,19,2.9,24.1
Machine feeders and offbearers,33,,–,,–,–,–
"Packers and packagers, hand",505,,51.9,,19,5.6,37.5
Pumping station operators,23,,–,,–,–,–
Refuse and recyclable material collectors,97,,10.4,,19.1,2.1,30.8
Mine shuttle car operators,1,,–,,–,–,–
"Tank car, truck, and ship loaders",5,,–,,–,–,–
"Material moving workers, all other",43,,–,,–,–,–
,,,,,,,
"NOTE: Estimates for the above race groups (white, black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,
