Occupation,Total Employed (thou) 2011,% Men 2011,% Women 2011,% White 2011,% Black 2011,% Asian 2011,% Latinx 2011
Dietitians and nutritionists,102,9.4,90.6,,15.2,4.5,8.4
Optometrists,28,#VALUE!,-,,-,-,-
Pharmacists,274,44.3,55.7,,7.1,15.3,4.4
Physicians and surgeons,822,66.2,33.8,,5.3,16.1,6.6
Physician assistants,82,30.2,69.8,,9.6,2.7,10.1
Podiatrists,6,#VALUE!,-,,-,-,-
Audiologists,19,#VALUE!,-,,-,-,-
Occupational therapists,112,8,92,,2.7,7.6,4.6
Physical therapists,222,32.2,67.8,,5.2,8.9,5
Radiation therapists,14,#VALUE!,-,,-,-,-
Recreational therapists,14,#VALUE!,-,,-,-,-
Respiratory therapists,134,38,62,,8.1,5.6,8.5
Speech-language pathologists,125,4.4,95.6,,1.5,1.5,6.4
Exercise physiologists,2,#VALUE!,-,,-,-,-
"Therapists, all other",138,20.1,79.9,,8,3.2,6
Veterinarians,71,43.6,56.4,,1.6,4,5
Registered nurses,2706,8.9,91.1,,10.4,7.3,5.1
Nurse anesthetists,33,#VALUE!,-,,-,-,-
Nurse midwives,5,#VALUE!,-,,-,-,-
Nurse practitioners,100,9.4,90.6,,7.3,2.4,8.6
"Health diagnosing and treating practitioners, all other",26,#VALUE!,-,,-,-,-
Clinical laboratory technologists and technicians,321,26.4,73.6,,15.3,8.9,9.4
Dental hygienists,148,2.5,97.5,,0.5,5.5,7.2
Diagnostic related technologists and technicians,342,27,73,,9,4,7.2
Emergency medical technicians and paramedics,185,64,36,,4.5,0.9,6.4
Health practitioner support technologists and technicians,511,21.4,78.6,,15.1,5.6,11
Licensed practical and licensed vocational nurses,560,9.5,90.5,,23.7,3.9,8.3
Medical records and health information technicians,116,10.3,89.7,,10.6,9.5,19.6
"Opticians, dispensing",51,35.7,64.3,,9.4,1.8,4.8
Miscellaneous health technologists and technicians,167,34.3,65.7,,16.7,11.8,9.7
Other healthcare practitioners and technical occupations,70,60.5,39.5,,9.4,5.1,5.6
,,,,,,,
Service occupations,"24,787",,55.9,,15.4,4.9,21
Healthcare support occupations,"3,359",,87.7,,24.6,4.3,13.9
"Nursing, psychiatric, and home health aides","1,981",,87.8,,33.1,4.3,13.3
Occupational therapy assistants and aides,17,,-,,-,-,-
Physical therapist assistants and aides,75,,60.8,,10.4,3.5,9.7
Massage therapists,146,,86.5,,5.5,5.5,7
Dental assistants,307,,97.9,,8.3,5.1,16.3
Medical assistants,395,,93.4,,14.3,5.2,20.2
Medical transcriptionists,74,,95.4,,0.3,0,2.1
Pharmacy aides,48,,-,,-,-,-
Veterinary assistants and laboratory animal caretakers,38,,-,,-,-,-
Phlebotomists,119,,81.8,,26.7,4.9,13.7
"Miscellaneous healthcare support occupations, including medical equipment preparers",158,,74,,24.3,2.8,13.3
Protective service occupations,"3,210",,20.7,,17.4,2.1,12.6
First-line supervisors of correctional officers,42,,-,,-,-,-
First-line supervisors of police and detectives,107,,17.5,,9.3,4,6.7
First-line supervisors of fire fighting and prevention workers,44,,-,,-,-,-
"First-line supervisors of protective service workers, all other",111,,24.2,,17.6,1.1,11.5
Firefighters,305,,4.5,,2.9,0.6,10
Fire inspectors,20,,-,,-,-,-
"Bailiffs, correctional officers, and jailers",446,,27.9,,25.1,1.9,13
Detectives and criminal investigators,151,,16.7,,8.9,1.2,14.9
Fish and game wardens,6,,-,,-,-,-
Parking enforcement workers,7,,-,,-,-,-
Police and sheriff's patrol officers,668,,12,,11.5,2,12.7
Transit and railroad police,8,,-,,-,-,-
Animal control workers,6,,-,,-,-,-
Private detectives and investigators,92,,35.3,,8.3,1.2,11.5
Security guards and gaming surveillance officers,963,,19.2,,27.2,3.6,15.4
Crossing guards,59,,64.3,,19.7,0,5.5
Transportation security screeners,27,,-,,-,-,-
"Lifeguards and other recreational, and all other protective service workers",146,,58.1,,6.2,0.3,6.3
Food preparation and serving related occupations,"7,747",,54.4,,12.6,5.9,21.8
Chefs and head cooks,347,,18.7,,9.1,15.3,18
First-line supervisors of food preparation and serving workers,505,,59.1,,18.2,3.2,15.1
Cooks,"1,990",,39.2,,17.9,5.9,30.4
Food preparation workers,784,,58,,14.4,5.7,23
Bartenders,392,,55.7,,5.1,2.1,10.1
"Combined food preparation and serving workers, including fast food",326,,66,,16.3,3.7,15.4
"Counter attendants, cafeteria, food concession, and coffee shop",255,,68.3,,9.1,3.5,16.9
Waiters and waitresses,"2,059",,69.5,,7.8,6.6,17.1
"Food servers, nonrestaurant",181,,67.7,,21,6.1,17.1
Dining room and cafeteria attendants and bartender helpers,347,,46.8,,9.8,4.9,31.5
Dishwashers,273,,19.9,,11.9,7.4,34.4
"Hosts and hostesses, restaurant, lounge, and coffee shop",286,,83,,6.9,3.3,16.4
"Food preparation and serving related workers, all other",4,,-,,-,-,-
Building and grounds cleaning and maintenance occupations,"5,492",,38.8,,13.7,3.1,34.8
First-line supervisors of housekeeping and janitorial workers,292,,41,,17.3,3.5,16
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",274,,9.9,,4.9,1.4,19.1
Janitors and building cleaners,"2,186",,30.3,,16.6,3.1,30.4
Maids and housekeeping cleaners,"1,419",,88.6,,16.5,4.5,39.9
Pest control workers,75,,3.7,,7,0,20.3
Grounds maintenance workers,"1,247",,5.2,,7.1,1.8,45.2
Personal care and service occupations,"4,979",,78.4,,14.1,7.6,14.7
First-line supervisors of gaming workers,120,,46.4,,3.7,9.1,8.4
First-line supervisors of personal service workers,192,,73.5,,9.9,13.8,11
Animal trainers,49,,-,,-,-,-
Nonfarm animal caretakers,179,,75.9,,2.7,1.4,11
Gaming services workers,113,,44.9,,5.6,23.3,16.4
Motion picture projectionists,8,,-,,-,-,-
"Ushers, lobby attendants, and ticket takers",46,,-,,-,-,-
Miscellaneous entertainment attendants and related workers,182,,51.7,,13.9,3.8,11.3
Embalmers and funeral attendants,8,,-,,-,-,-
"Morticians, undertakers, and funeral directors",23,,-,,-,-,-
Barbers,89,,24,,27.7,2.6,17.6
"Hairdressers, hairstylists, and cosmetologists",758,,93,,11.6,4.1,12.8
Miscellaneous personal appearance workers,251,,84.1,,5.9,55.1,5.3
"Baggage porters, bellhops, and concierges",81,,14,,20.7,9.1,28.4
Tour and travel guides,38,,-,,-,-,-
Childcare workers,"1,231",,94.5,,15,3.4,18.1
Personal care aides,"1,057",,85.6,,21.9,5.8,19.3
Recreation and fitness workers,390,,64.1,,10.5,3.4,7.2
Residential advisors,59,,58.3,,22.4,5.1,5.4
"Personal care and service workers, all other",105,,48.2,,8.1,2.3,11.5
,,,,,,,
Sales and office occupations,"33,066",,62.3,,11.3,4.4,13.2
Sales and related occupations,"15,330",,49.6,,9.8,4.9,12.6
First-line supervisors of retail sales workers,"3,217",,43.5,,8.8,5.4,10.9
First-line supervisors of non-retail sales workers,"1,088",,26.7,,5.8,4.9,10.1
Cashiers,"3,158",,73.6,,15.6,6.5,18.1
Counter and rental clerks,139,,48.6,,10.2,8.6,13
Parts salespersons,131,,15.5,,6.5,0.3,10.3
Retail salespersons,"3,224",,51.2,,11.5,4.4,14.3
Advertising sales agents,254,,55.6,,10.8,1.6,8.8
Insurance sales agents,531,,47.3,,8.2,3.2,9.1
"Securities, commodities, and financial services sales agents",267,,29.9,,4.7,6.5,5.6
Travel agents,69,,79.4,,5.9,5.3,9.5
"Sales representatives, services, all other",503,,31.2,,7.6,4.6,10.9
"Sales representatives, wholesale and manufacturing","1,297",,25.9,,2.9,3.4,7.9
"Models, demonstrators, and product promoters",78,,79.2,,13,0.2,14.6
Real estate brokers and sales agents,811,,56.8,,4.6,4.2,8.8
Sales engineers,30,,-,,-,-,-
Telemarketers,108,,59.4,,14.9,1.2,17.4
"Door-to-door sales workers, news and street vendors, and related workers",201,,59.2,,12.6,3,17.8
"Sales and related workers, all other",226,,50.7,,8.5,3.3,10
Office and administrative support occupations,"17,736",,73.4,,12.6,4.1,13.7
