Occupation,Total Employed (thou) 2014,% Men 2014,% Women 2014,% White 2014,% Black 2014,% Asian 2014,% Latinx 2014,,,,,,,,,,,,,,,,,,,,,,
Occupational therapists,111,7.6,92.4,,5.7,3,5.2,,,,,,,,,,,,,,,,,,,,,,
Physical therapists,244,30.2,69.8,,6.7,12.5,4.6,,,,,,,,,,,,,,,,,,,,,,
Radiation therapists,17,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Recreational therapists,10,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Respiratory therapists,112,37.6,62.4,,13.7,9.8,4.9,,,,,,,,,,,,,,,,,,,,,,
Speech-language pathologists,137,1.6,98.4,,7.2,3.2,8.4,,,,,,,,,,,,,,,,,,,,,,
Exercise physiologists,5,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Therapists, all other",186,20.1,79.9,,9.7,2.4,13.1,,,,,,,,,,,,,,,,,,,,,,
Veterinarians,81,43.8,56.2,,3.1,1.1,4.9,,,,,,,,,,,,,,,,,,,,,,
Registered nurses,"2,888",10,90,,11.8,8.2,6.7,,,,,,,,,,,,,,,,,,,,,,
Nurse anesthetists,30,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Nurse midwives,4,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Nurse practitioners,128,8.5,91.5,,7.7,5.2,3.9,,,,,,,,,,,,,,,,,,,,,,
"Health diagnosing and treating practitioners, all other",24,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Clinical laboratory technologists and technicians,293,26,74,,18.2,12.8,10.9,,,,,,,,,,,,,,,,,,,,,,
Dental hygienists,175,2.9,97.1,,4.3,5.5,9.9,,,,,,,,,,,,,,,,,,,,,,
Diagnostic related technologists and technicians,331,26.4,73.6,,6.5,5.3,8,,,,,,,,,,,,,,,,,,,,,,
Emergency medical technicians and paramedics,232,74.2,25.8,,7.7,1.2,8.4,,,,,,,,,,,,,,,,,,,,,,
Health practitioner support technologists and technicians,583,18.6,81.4,,13.2,6.8,13.2,,,,,,,,,,,,,,,,,,,,,,
Licensed practical and licensed vocational nurses,641,11,89,,27.9,5,9.9,,,,,,,,,,,,,,,,,,,,,,
Medical records and health information technicians,138,9.8,90.2,,19.8,4.4,12.7,,,,,,,,,,,,,,,,,,,,,,
"Opticians, dispensing",46,#VALUE!,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous health technologists and technicians,123,34.7,65.3,,18,6.5,11.6,,,,,,,,,,,,,,,,,,,,,,
Other healthcare practitioners and technical occupations,108,46.3,53.7,,8.7,4,9.1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service occupations,"25,854",,56.7,,16.2,5.4,23.4,,,,,,,,,,,,,,,,,,,,,,
Healthcare support occupations,"3,461",,87.6,,25.7,5.2,16.2,,,,,,,,,,,,,,,,,,,,,,
"Nursing, psychiatric, and home health aides","1,980",,88.5,,35.9,4.5,15.4,,,,,,,,,,,,,,,,,,,,,,
Occupational therapy assistants and aides,17,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Physical therapist assistants and aides,70,,64.6,,7.8,8.8,5.5,,,,,,,,,,,,,,,,,,,,,,
Massage therapists,172,,82.7,,4.3,10.6,8.4,,,,,,,,,,,,,,,,,,,,,,
Dental assistants,273,,96.6,,5.1,5.4,23.5,,,,,,,,,,,,,,,,,,,,,,
Medical assistants,508,,92.8,,14.3,5,21.9,,,,,,,,,,,,,,,,,,,,,,
Medical transcriptionists,58,,97.1,,3.9,0.4,4.7,,,,,,,,,,,,,,,,,,,,,,
Pharmacy aides,45,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Veterinary assistants and laboratory animal caretakers,41,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Phlebotomists,118,,83.4,,17.9,3.8,18,,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous healthcare support occupations, including medical equipment preparers",179,,65.5,,26.9,6.6,11.4,,,,,,,,,,,,,,,,,,,,,,
Protective service occupations,"3,140",,21.8,,19.7,2.3,14.4,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of correctional officers,49,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of police and detectives,126,,15.9,,14.4,0.7,7,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of fire fighting and prevention workers,58,,7.8,,6.2,1.6,9.3,,,,,,,,,,,,,,,,,,,,,,
"First-line supervisors of protective service workers, all other",91,,20.9,,10.9,1.6,10.3,,,,,,,,,,,,,,,,,,,,,,
Firefighters,300,,5.7,,10.2,0.7,9.6,,,,,,,,,,,,,,,,,,,,,,
Fire inspectors,13,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Bailiffs, correctional officers, and jailers",395,,28.6,,20.6,1.7,16,,,,,,,,,,,,,,,,,,,,,,
Detectives and criminal investigators,164,,21,,14.6,1.6,13.2,,,,,,,,,,,,,,,,,,,,,,
Fish and game wardens,3,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Parking enforcement workers,10,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Police and sheriff's patrol officers,680,,12.4,,15.6,1.8,13.2,,,,,,,,,,,,,,,,,,,,,,
Transit and railroad police,3,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Animal control workers,9,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Private detectives and investigators,98,,37.7,,14.5,3,13.5,,,,,,,,,,,,,,,,,,,,,,
Security guards and gaming surveillance officers,899,,22.6,,30.3,3.7,19,,,,,,,,,,,,,,,,,,,,,,
Crossing guards,66,,66.3,,21.6,6.2,6.1,,,,,,,,,,,,,,,,,,,,,,
Transportation security screeners,33,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Lifeguards and other recreational, and all other protective service workers",141,,49.7,,12.6,1.8,11.1,,,,,,,,,,,,,,,,,,,,,,
Food preparation and serving related occupations,"8,112",,55.1,,12.6,6,24.9,,,,,,,,,,,,,,,,,,,,,,
Chefs and head cooks,430,,21.4,,15.3,16.4,18.3,,,,,,,,,,,,,,,,,,,,,,
First-line supervisors of food preparation and serving workers,545,,59.1,,13.7,4.7,19.1,,,,,,,,,,,,,,,,,,,,,,
Cooks,"1,992",,40.6,,16.5,4.9,34,,,,,,,,,,,,,,,,,,,,,,
Food preparation workers,885,,54.7,,13.4,6.9,27.2,,,,,,,,,,,,,,,,,,,,,,
