Occupation,Total Employed (thou) 2014,% Men 2014,% Women 2014,% White 2014,% Black 2014,% Asian 2014,% Latinx 2014,,,,,,,,,,,,,,,,,,,,,,
Stationary engineers and boiler operators,96,,2,,7,4.3,15.2,,,,,,,,,,,,,,,,,,,,,,
Water and wastewater treatment plant and system operators,72,,4.5,,10.7,2.3,14.7,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous plant and system operators,41,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Chemical processing machine setters, operators, and tenders",63,,5.8,,10.7,0.5,10.3,,,,,,,,,,,,,,,,,,,,,,
"Crushing, grinding, polishing, mixing, and blending workers",69,,11.7,,14.1,3.5,22.4,,,,,,,,,,,,,,,,,,,,,,
Cutting workers,60,,21.9,,10.3,4.7,22,,,,,,,,,,,,,,,,,,,,,,
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",40,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Furnace, kiln, oven, drier, and kettle operators and tenders",9,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Inspectors, testers, sorters, samplers, and weighers",752,,35.1,,12.7,6.8,16.8,,,,,,,,,,,,,,,,,,,,,,
Jewelers and precious stone and metal workers,44,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Medical, dental, and ophthalmic laboratory technicians",85,,52.3,,3,14.3,12.3,,,,,,,,,,,,,,,,,,,,,,
Packaging and filling machine operators and tenders,259,,56.2,,19,8.9,36,,,,,,,,,,,,,,,,,,,,,,
Painting workers,156,,12.7,,8.1,4.3,27,,,,,,,,,,,,,,,,,,,,,,
Photographic process workers and processing machine operators,27,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Semiconductor processors,1,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Adhesive bonding machine operators and tenders,6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Cleaning, washing, and metal pickling equipment operators and tenders",6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Cooling and freezing equipment operators and tenders,4,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Etchers and engravers,13,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Molders, shapers, and casters, except metal and plastic",31,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Paper goods machine setters, operators, and tenders",31,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Tire builders,12,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Helpers--production workers,54,,25.1,,10.9,9.6,32.9,,,,,,,,,,,,,,,,,,,,,,
"Production workers, all other",947,,24.7,,15.1,5.5,23.1,,,,,,,,,,,,,,,,,,,,,,
Transportation and material moving occupations,"9,010",,15.7,,17.3,3.4,22.1,,,,,,,,,,,,,,,,,,,,,,
Supervisors of transportation and material moving workers,199,,18.3,,9,2,22.1,,,,,,,,,,,,,,,,,,,,,,
Aircraft pilots and flight engineers,133,,7.2,,1.9,0.5,2.7,,,,,,,,,,,,,,,,,,,,,,
Air traffic controllers and airfield operations specialists,31,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Flight attendants,92,,75.8,,10.2,2.5,7.9,,,,,,,,,,,,,,,,,,,,,,
"Ambulance drivers and attendants, except emergency medical technicians",19,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Bus drivers,584,,45,,25.9,2.5,12.8,,,,,,,,,,,,,,,,,,,,,,
Driver/sales workers and truck drivers,"3,406",,5.8,,15.6,2.5,20.5,,,,,,,,,,,,,,,,,,,,,,
Taxi drivers and chauffeurs,383,,12.7,,28.8,13.9,16.5,,,,,,,,,,,,,,,,,,,,,,
"Motor vehicle operators, all other",61,,8.9,,16.1,2.3,16.1,,,,,,,,,,,,,,,,,,,,,,
Locomotive engineers and operators,55,,1.4,,14,0,5.6,,,,,,,,,,,,,,,,,,,,,,
"Railroad brake, signal, and switch operators",9,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Railroad conductors and yardmasters,46,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Subway, streetcar, and other rail transportation workers",19,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Sailors and marine oilers,27,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Ship and boat captains and operators,41,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Ship engineers,7,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Bridge and lock tenders,6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Parking lot attendants,78,,10.5,,26.3,9.9,28.7,,,,,,,,,,,,,,,,,,,,,,
Automotive and watercraft service attendants,97,,7.5,,13.7,15.7,21.9,,,,,,,,,,,,,,,,,,,,,,
Transportation inspectors,47,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Transportation attendants, except flight attendants",27,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Other transportation workers,25,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Conveyor operators and tenders,6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Crane and tower operators,74,,0.2,,8.4,1,11.2,,,,,,,,,,,,,,,,,,,,,,
"Dredge, excavating, and loading machine operators",44,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Hoist and winch operators,7,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Industrial truck and tractor operators,564,,7.4,,24.4,2.2,29.3,,,,,,,,,,,,,,,,,,,,,,
Cleaners of vehicles and equipment,375,,12.4,,22.5,1.9,33.4,,,,,,,,,,,,,,,,,,,,,,
"Laborers and freight, stock, and material movers, hand","1,867",,18.3,,15.6,3.2,23.8,,,,,,,,,,,,,,,,,,,,,,
Machine feeders and offbearers,17,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Packers and packagers, hand",505,,53.8,,18.2,5.9,43.3,,,,,,,,,,,,,,,,,,,,,,
Pumping station operators,27,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Refuse and recyclable material collectors,84,,8.6,,19,0.8,36.8,,,,,,,,,,,,,,,,,,,,,,
Mine shuttle car operators,1,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Tank car, truck, and ship loaders",6,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Material moving workers, all other",41,,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,
