Occupation,Total Employed (thou) 2010,% Men 2010,% Women 2010,% White 2010,% Black 2010,% Asian 2010,% Latinx 2010
Millwrights............................................................,45,100,,,,,
Electrical power-line installers and repairers.........................,124,99.6,0.4,,8.2,0.7,10.3
Telecommunications line installers and repairers.......................,163,92.5,7.5,,9.4,1.6,17.5
Precision instrument and equipment repairers...........................,73,86.2,13.8,,10.8,0.5,12.4
"Coin, vending, and amusement machine servicers and repairers...........",35,100,,,,,
Locksmiths and safe repairers..........................................,26,100,,,,,
Manufactured building and mobile home installers.......................,11,100,,,,,
Riggers................................................................,9,100,,,,,
Signal and track switch repairers......................................,7,100,,,,,
"Helpers—installation, maintenance, and repair workers..................",30,100,,,,,
"Other installation, maintenance, and repair workers....................",197,93.7,6.3,,5.4,1.4,18.5
,,100,,,,,
"Production, transportation, and material moving occupations................","16,180",78.8,21.2,,13.9,4.2,21
Production occupations...................................................,"7,998",72.4,27.6,,11.4,5.5,21.9
First-line supervisors/managers of production and operating workers....,702,81.9,18.1,,7.3,5.5,15.7
"Aircraft structure, surfaces, rigging, and systems assemblers..........",23,100,,,,,
"Electrical, electronics, and electromechanical assemblers..............",151,45.1,54.9,,15.1,22.6,17.1
Engine and other machine assemblers....................................,36,100,,,,,
Structural metal fabricators and fitters...............................,27,100,,,,,
Miscellaneous assemblers and fabricators...............................,805,63.5,36.5,,15.3,6.1,20.5
Bakers.................................................................,206,43,57,,9.8,5.8,30.6
"Butchers and other meat, poultry, and fish processing workers..........",331,78.8,21.2,,14,10.4,36.2
"Food and tobacco roasting, baking, and drying machine operators and",,100,,,,,
tenders...............................................................,14,100,,,,,
Food batchmakers.......................................................,107,44.5,55.5,,9.7,2.6,27.6
Food cooking machine operators and tenders.............................,16,100,,,,,
Computer control programmers and operators.............................,56,96.1,3.9,,6.9,2.1,18.3
"Extruding and drawing machine setters, operators, and tenders, metal",,100,,,,,
and plastic...........................................................,9,100,,,,,
"Forging machine setters, operators, and tenders, metal and plastic.....",10,100,,,,,
"Rolling machine setters, operators, and tenders, metal and plastic.....",10,100,,,,,
"Cutting, punching, and press machine setters, operators, and tenders,",,100,,,,,
metal and plastic.....................................................,78,78.9,21.1,,11.1,2.6,15.2
"Drilling and boring machine tool setters, operators, and tenders, metal",,100,,,,,
and plastic...........................................................,1,100,,,,,
"Grinding, lapping, polishing, and buffing machine tool setters,",,100,,,,,
"operators, and tenders, metal and plastic.............................",54,91,9,,11.3,1.5,16.7
"Lathe and turning machine tool setters, operators, and tenders, metal",,100,,,,,
and plastic...........................................................,20,100,,,,,
"Milling and planning machine setters, operators, tenders, metal and",,100,,,,,
plastic...............................................................,4,100,,,,,
Machinists.............................................................,408,96.1,3.9,,4.3,5.5,15.1
Metal furnace and kiln operators and tenders...........................,25,100,,,,,
"Model makers and patternmakers, metal and plastic......................",7,100,,,,,
"Molders and molding machine setters, operators, and tenders, metal and",,100,,,,,
plastic...............................................................,55,82.4,17.6,,10.7,1.9,19
"Multiple machine tool setters, operators, and tenders, metal and",,100,,,,,
plastic...............................................................,6,100,,,,,
Tool and die makers....................................................,68,99.1,0.9,,1.8,1,7.4
"Welding, soldering, and brazing workers................................",479,94.6,5.4,,7,3.6,22.7
"Heat treating equipment setters, operators, and tenders, metal and",,100,,,,,
plastic...............................................................,7,100,,,,,
"Lay-out workers, metal and plastic.....................................",7,100,,,,,
"Plating and coating machine setters, operators, and tenders, metal and",,100,,,,,
plastic...............................................................,17,100,,,,,
"Tool grinders, filers, and sharpeners..................................",6,100,,,,,
"Metalworkers and plastic workers, all other............................",337,81.9,18.1,,11.2,7.2,24.2
Bookbinders and bindery workers........................................,20,100,,,,,
Job printers...........................................................,50,82.7,17.3,,13.5,4.4,11.7
Prepress technicians and workers.......................................,46,100,,,,,
Printing machine operators.............................................,162,78.5,21.5,,13.7,1.8,19.6
Laundry and dry-cleaning workers.......................................,195,44.2,55.8,,15.9,9.3,30.1
"Pressers, textile, garment, and related materials......................",59,33.6,66.4,,19.3,9.2,36.6
Sewing machine operators...............................................,170,21.5,78.5,,13.3,10.8,40.2
Shoe and leather workers and repairers.................................,9,100,,,,,
Shoe machine operators and tenders.....................................,5,100,,,,,
"Tailors, dressmakers, and sewers.......................................",76,30,70,,4.9,20.9,19.6
Textile bleaching and dyeing machine operators and tenders.............,5,100,,,,,
"Textile cutting machine setters, operators, and tenders................",10,100,,,,,
"Textile knitting and weaving machine setters, operators, and tenders...",9,100,,,,,
"Textile winding, twisting, and drawing out machine setters, operators,",,100,,,,,
and tenders...........................................................,16,100,,,,,
"Extruding and forming machine setters, operators, and tenders,",,100,,,,,
synthetic and glass fibers............................................,2,100,,,,,
Fabric and apparel patternmakers.......................................,3,100,,,,,
Upholsterers...........................................................,41,100,,,,,
"Textile, apparel, and furnishings workers, all other...................",23,100,,,,,
Cabinetmakers and bench carpenters.....................................,62,97.2,2.8,,4,2.8,20.8
Furniture finishers....................................................,16,100,,,,,
"Sawing machine setters, operators, and tenders, wood...................",36,100,,,,,
"Woodworking machine setters, operators, and tenders, except sawing.....",18,100,,,,,
"Woodworkers, all other.................................................",22,100,,,,,
"Power plant operators, distributors, and dispatchers...................",40,100,,,,,
Stationary engineers and boiler operators..............................,91,98.3,1.7,,9.8,5.3,14.5
Water and liquid waste treatment plant and system operators............,77,94.1,5.9,,6.8,3.4,10.1
Miscellaneous plant and system operators...............................,40,100,,,,,
"Chemical processing machine setters, operators, and tenders............",58,82.3,17.7,,17.6,2.7,17
"Crushing, grinding, polishing, mixing, and blending workers............",90,84.3,15.7,,16,2.2,23.2
Cutting workers........................................................,67,76.8,23.2,,10.1,3,27.6
"Extruding, forming, pressing, and compacting machine setters,",,100,,,,,
"operators, and tenders................................................",43,100,,,,,
"Furnace, kiln, oven, drier, and kettle operators and tenders...........",17,100,,,,,
"Inspectors, testers, sorters, samplers, and weighers...................",669,65.7,34.3,,11.1,5.3,16.9
Jewelers and precious stone and metal workers..........................,33,100,,,,,
"Medical, dental, and ophthalmic laboratory technicians.................",92,51,49,,5.5,7.8,12.5
Packaging and filling machine operators and tenders....................,255,52.4,47.6,,16.4,4.1,42.3
Painting workers.......................................................,139,92.1,7.9,,9.3,0.5,26.4
Photographic process workers and processing machine operators..........,48,100,,,,,
Semiconductor processors...............................................,3,100,,,,,
Cementing and gluing machine operators and tenders.....................,10,100,,,,,
"Cleaning, washing, and metal pickling equipment operators and tenders..",12,100,,,,,
Cooling and freezing equipment operators and tenders...................,5,100,,,,,
Etchers and engravers..................................................,10,100,,,,,
"Molders, shapers, and casters, except metal and plastic................",37,100,,,,,
"Paper goods machine setters, operators, and tenders....................",41,100,,,,,
Tire builders..........................................................,24,100,,,,,
Helpers—production workers.............................................,41,100,,,,,
"Production workers, all other..........................................",921,71.2,28.8,,14.9,4.2,22.8
Transportation and material moving occupations...........................,"8,182",85,15,,16.4,2.8,20
"Supervisors, transportation and material moving workers................",263,76.6,23.4,,18.3,3,15.1
Aircraft pilots and flight engineers...................................,110,94.8,5.2,,1,1,6.3
Air traffic controllers and airfield operations specialists............,46,100,,,,,
"Ambulance drivers and attendants, except emergency medical technicians",13,100,,,,,
Bus drivers............................................................,600,53,47,,25.1,2.2,12.3
Driver/sales workers and truck drivers.................................,"3,028",95.4,4.6,,13.6,1.5,17.5
Taxi drivers and chauffeurs............................................,390,85.6,14.4,,26.6,13,15.7
"Motor vehicle operators, all other.....................................",54,84.2,15.8,,7.8,2.7,22
Locomotive engineers and operators.....................................,57,97.4,2.6,,5.7,2.4,4.7
"Railroad brake, signal, and switch operators...........................",6,100,,,,,
Railroad conductors and yardmasters....................................,58,93.5,6.5,,19.9,1.2,8.4
"Subway, streetcar, and other rail transportation workers...............",9,100,,,,,
Sailors and marine oilers..............................................,23,100,,,,,
Ship and boat captains and operators...................................,48,100,,,,,
Ship engineers.........................................................,6,100,,,,,
Bridge and lock tenders................................................,4,100,,,,,
Parking lot attendants.................................................,75,93.7,6.3,,25.7,12.8,18
Service station attendants.............................................,77,86.5,13.5,,8.6,4,17.1
Transportation inspectors..............................................,46,100,,,,,
Other transportation workers...........................................,16,100,,,,,
Conveyor operators and tenders.........................................,5,100,,,,,
Crane and tower operators..............................................,50,#VALUE!,-,,6.9,0.4,12.2
"Dredge, excavating, and loading machine operators......................",51,96.8,3.2,,3.3,0.1,9.6
Hoist and winch operators..............................................,6,100,,,,,
Industrial truck and tractor operators.................................,499,93.8,6.2,,22,1.2,32
Cleaners of vehicles and equipment.....................................,333,85,15,,14.8,3.7,35.6
"Laborers and freight, stock, and material movers, hand.................","1,700",82.6,17.4,,16.9,3,21.3
Machine feeders and offbearers.........................................,32,100,,,,,
"Packers and packagers, hand............................................",403,43.5,56.5,,17.3,4.2,41.3
Pumping station operators..............................................,25,100,,,,,
Refuse and recyclable material collectors..............................,88,92.1,7.9,,23.9,0.2,21.2
Shuttle car operators..................................................,2,100,,,,,
"Tank car, truck, and ship loaders......................................",2,100,,,,,
"Material moving workers, all other.....................................",59,91.3,8.7,,13.2,2.7,17.8
,,,,,,,
"1 Data not shown where base is less than 50,000.",,,,,,,
NOTE: Updated population controls are introduced annually with the releas,e of Janua,,ry data.,,Dash indicat,es no data,or data
that do not meet publication criteria.,,,,,,,
