Occupation,Total Employed (thou) 2016,% Men 2016,% Women 2016,% White 2016,% Black 2016,% Asian 2016,% Latinx 2016
First-line supervisors of production and operating workers,763,,18.7,,9.7,3.9,15
"Aircraft structure, surfaces, rigging, and systems assemblers",5,,–,,–,–,–
"Electrical, electronics, and electromechanical assemblers",117,,49.3,,14.1,16.9,22.5
Engine and other machine assemblers,9,,–,,–,–,–
Structural metal fabricators and fitters,22,,–,,–,–,–
Miscellaneous assemblers and fabricators,"1,082",,34.4,,17.8,7.2,19.6
Bakers,224,,64.8,,13.9,7.2,27.3
"Butchers and other meat, poultry, and fish processing workers",277,,26.9,,19.8,9.9,34.6
"Food and tobacco roasting, baking, and drying machine operators and tenders",24,,–,,–,–,–
Food batchmakers,107,,58.7,,14.2,3.1,30.6
Food cooking machine operators and tenders,10,,–,,–,–,–
"Food processing workers, all other",138,,37.4,,23.3,7.4,35.3
Computer control programmers and operators,87,,5.2,,6.3,4.3,12.3
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,,–,,–,–,–
"Forging machine setters, operators, and tenders, metal and plastic",5,,–,,–,–,–
"Rolling machine setters, operators, and tenders, metal and plastic",13,,–,,–,–,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",83,,18.3,,5.8,0.6,22.3
"Drilling and boring machine tool setters, operators, and tenders, metal	and plastic",8,,–,,–,–,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",48,,–,,–,–,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",14,,–,,–,–,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",6,,–,,–,–,–
Machinists,356,,3.4,,5.4,6.8,13
"Metal furnace operators, tenders, pourers, and casters",31,,–,,–,–,–
"Model makers and patternmakers, metal and plastic",4,,–,,–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",33,,–,,–,–,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",3,,–,,–,–,–
Tool and die makers,50,,3,,2.4,0,12.3
"Welding, soldering, and brazing workers",603,,4.1,,10,2.8,23.6
"Heat treating equipment setters, operators, and tenders, metal and plastic",3,,–,,–,–,–
"Layout workers, metal and plastic",7,,–,,–,–,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",20,,–,,–,–,–
"Tool grinders, filers, and sharpeners",5,,–,,–,–,–
"Metal workers and plastic workers, all other",379,,20,,15.3,7.3,22.1
Prepress technicians and workers,22,,–,,–,–,–
Printing press operators,205,,20.3,,6.7,4.7,15.9
Print binding and finishing workers,14,,–,,–,–,–
Laundry and dry-cleaning workers,188,,58.1,,21.4,7.9,34
"Pressers, textile, garment, and related materials",36,,–,,–,–,–
Sewing machine operators,208,,71.5,,8,12.1,46.9
Shoe and leather workers and repairers,8,,–,,–,–,–
Shoe machine operators and tenders,2,,–,,–,–,–
"Tailors, dressmakers, and sewers",79,,79.7,,7.8,22.6,19.3
Textile bleaching and dyeing machine operators and tenders,2,,–,,–,–,–
"Textile cutting machine setters, operators, and tenders",9,,–,,–,–,–
"Textile knitting and weaving machine setters, operators, and tenders",13,,–,,–,–,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",11,,–,,–,–,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,,–,,–,–,–
Fabric and apparel patternmakers,1,,–,,–,–,–
Upholsterers,36,,–,,–,–,–
"Textile, apparel, and furnishings workers, all other",20,,–,,–,–,–
Cabinetmakers and bench carpenters,56,,11.9,,6.7,0,15.7
Furniture finishers,19,,–,,–,–,–
"Model makers and patternmakers, wood",0,,–,,–,–,–
"Sawing machine setters, operators, and tenders, wood",35,,–,,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",23,,–,,–,–,–
"Woodworkers, all other",34,,–,,–,–,–
"Power plant operators, distributors, and dispatchers",44,,–,,–,–,–
Stationary engineers and boiler operators,78,,4.7,,9.6,5,14.1
Water and wastewater treatment plant and system operators,77,,5.2,,13.9,2.1,6.8
Miscellaneous plant and system operators,38,,–,,–,–,–
"Chemical processing machine setters, operators, and tenders",54,,10.2,,3.7,1.5,15.8
"Crushing, grinding, polishing, mixing, and blending workers",94,,11.9,,12.2,1.5,35.3
Cutting workers,67,,22.3,,7.2,4.1,37.2
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",29,,–,,–,–,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",16,,–,,–,–,–
"Inspectors, testers, sorters, samplers, and weighers",734,,37.9,,12.8,7.4,17.7
Jewelers and precious stone and metal workers,40,,–,,–,–,–
"Medical, dental, and ophthalmic laboratory technicians",85,,51.4,,8.4,11.8,11.3
Packaging and filling machine operators and tenders,236,,50.5,,16.1,6.2,43.1
Painting workers,173,,8.9,,8.8,1.8,28.4
Photographic process workers and processing machine operators,29,,–,,–,–,–
Semiconductor processors,2,,–,,–,–,–
Adhesive bonding machine operators and tenders,11,,–,,–,–,–
"Cleaning, washing, and metal pickling equipment operators and tenders",3,,–,,–,–,–
Cooling and freezing equipment operators and tenders,0,,–,,–,–,–
Etchers and engravers,6,,–,,–,–,–
"Molders, shapers, and casters, except metal and plastic",24,,–,,–,–,–
"Paper goods machine setters, operators, and tenders",33,,–,,–,–,–
Tire builders,10,,–,,–,–,–
Helpers--production workers,40,,–,,–,–,–
"Production workers, all other",968,,29.4,,17.1,5.4,22.1
Transportation and material moving occupations,"9,284",,16.5,,18.4,3.8,22.1
Supervisors of transportation and material moving workers,190,,21.4,,13.4,3.2,21.2
Aircraft pilots and flight engineers,141,,5.2,,3,0.5,7.7
Air traffic controllers and airfield operations specialists,26,,–,,–,–,–
Flight attendants,93,,75.8,,13.7,6.4,16.1
"Ambulance drivers and attendants, except emergency medical technicians",19,,–,,–,–,–
Bus drivers,553,,48.7,,29.4,3.3,11.8
Driver/sales workers and truck drivers,"3,542",,6,,14.8,2.6,21.3
Taxi drivers and chauffeurs,500,,14.3,,28.7,16,12.6
"Motor vehicle operators, all other",63,,8.8,,13.7,2.3,14.6
Locomotive engineers and operators,52,,3.2,,20.8,0.6,7.8
"Railroad brake, signal, and switch operators",2,,–,,–,–,–
Railroad conductors and yardmasters,55,,4.7,,21.3,4.3,6
"Subway, streetcar, and other rail transportation workers",15,,–,,–,–,–
Sailors and marine oilers,16,,–,,–,–,–
Ship and boat captains and operators,31,,–,,–,–,–
Ship engineers,4,,–,,–,–,–
Bridge and lock tenders,2,,–,,–,–,–
Parking lot attendants,89,,10.7,,24.3,7.3,28.5
Automotive and watercraft service attendants,97,,8.6,,9.9,6.4,18.1
Transportation inspectors,26,,–,,–,–,–
"Transportation attendants, except flight attendants",41,,–,,–,–,–
Other transportation workers,34,,–,,–,–,–
Conveyor operators and tenders,3,,–,,–,–,–
Crane and tower operators,63,,0.8,,13,0.5,13.7
"Dredge, excavating, and loading machine operators",37,,–,,–,–,–
Hoist and winch operators,9,,–,,–,–,–
Industrial truck and tractor operators,605,,9.6,,26,2.3,28
Cleaners of vehicles and equipment,328,,13,,18,2.5,29.4
"Laborers and freight, stock, and material movers, hand","1,900",,18.1,,19.9,3.2,23.4
Machine feeders and offbearers,30,,–,,–,–,–
"Packers and packagers, hand",550,,54.5,,18.9,7.1,43.6
Pumping station operators,16,,–,,–,–,–
Refuse and recyclable material collectors,101,,8.6,,16.4,0.5,23.5
Mine shuttle car operators,0,,–,,–,–,–
"Tank car, truck, and ship loaders",4,,–,,–,–,–
"Material moving workers, all other",45,,–,,–,–,–
,,,,,,,
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,
