Occupation,Total Employed (thou) 2012,% Men 2012,% Women 2012,% White 2012,% Black 2012,% Asian 2012,% Latinx 2012
Production occupations,"8,455",,27.7,,11.6,5.8,21.7
First-line supervisors of production and operating workers,808,,19.5,,9.4,5.8,13.9
"Aircraft structure, surfaces, rigging, and systems assemblers",23,,-,,-,-,-
"Electrical, electronics, and electromechanical assemblers",166,,52.8,,13.4,16.3,24
Engine and other machine assemblers,32,,-,,-,-,-
Structural metal fabricators and fitters,25,,-,,-,-,-
Miscellaneous assemblers and fabricators,919,,38.4,,15.8,6.9,19.3
Bakers,199,,53.9,,15.6,5.1,28.4
"Butchers and other meat, poultry, and fish processing workers",311,,23,,13.5,7.9,41.6
"Food and tobacco roasting, baking, and drying machine operators and tenders",11,,-,,-,-,-
Food batchmakers,84,,59.6,,12.2,5.7,33.5
Food cooking machine operators and tenders,14,,-,,-,-,-
"Food processing workers, all other",117,,29.5,,15.9,5.9,34.6
Computer control programmers and operators,67,,8.4,,6.4,3.3,17.1
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",10,,-,,-,-,-
"Forging machine setters, operators, and tenders, metal and plastic",10,,-,,-,-,-
"Rolling machine setters, operators, and tenders, metal and plastic",8,,-,,-,-,-
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",87,,18.9,,8.4,3.3,22.9
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",3,,-,,-,-,-
"Grinding, lapping, polishing, and buffing machine tool setters, operators,",54,,6.6,,13.7,0.7,21.8
"and tenders, metal and plastic",,,,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",17,,-,,-,-,-
"Milling and planing machine setters, operators, and tenders, metal and plastic",3,,-,,-,-,-
Machinists,397,,3.8,,4.5,4.9,11.7
"Metal furnace operators, tenders, pourers, and casters",17,,-,,-,-,-
"Model makers and patternmakers, metal and plastic",11,,-,,-,-,-
"Molders and molding machine setters, operators, and tenders, metal and plastic",37,,-,,-,-,-
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,,-,,-,-,-
Tool and die makers,56,,0.8,,3.1,5.6,4.3
"Welding, soldering, and brazing workers",593,,4.8,,8.7,2.6,23
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,,-,,-,-,-
"Layout workers, metal and plastic",4,,-,,-,-,-
"Plating and coating machine setters, operators, and tenders, metal and plastic",18,,-,,-,-,-
"Tool grinders, filers, and sharpeners",3,,-,,-,-,-
"Metal workers and plastic workers, all other",375,,19.5,,14.4,6.6,26
Prepress technicians and workers,33,,-,,-,-,-
Printing press operators,201,,17.2,,10.1,3.4,15.6
Print binding and finishing workers,22,,-,,-,-,-
Laundry and dry-cleaning workers,185,,53.3,,20.8,10.3,37.1
"Pressers, textile, garment, and related materials",54,,70.6,,17,3.5,47.9
Sewing machine operators,166,,74.2,,5.6,11.4,43.8
Shoe and leather workers and repairers,11,,-,,-,-,-
Shoe machine operators and tenders,11,,-,,-,-,-
"Tailors, dressmakers, and sewers",86,,77.1,,5.9,19.5,24.9
Textile bleaching and dyeing machine operators and tenders,5,,-,,-,-,-
"Textile cutting machine setters, operators, and tenders",12,,-,,-,-,-
"Textile knitting and weaving machine setters, operators, and tenders",7,,-,,-,-,-
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",14,,-,,-,-,-
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",1,,-,,-,-,-
Fabric and apparel patternmakers,3,,-,,-,-,-
Upholsterers,34,,-,,-,-,-
"Textile, apparel, and furnishings workers, all other",14,,-,,-,-,-
Cabinetmakers and bench carpenters,45,,-,,-,-,-
Furniture finishers,7,,-,,-,-,-
"Model makers and patternmakers, wood",0,,-,,-,-,-
"Sawing machine setters, operators, and tenders, wood",30,,-,,-,-,-
"Woodworking machine setters, operators, and tenders, except sawing",21,,-,,-,-,-
"Woodworkers, all other",21,,-,,-,-,-
"Power plant operators, distributors, and dispatchers",44,,-,,-,-,-
Stationary engineers and boiler operators,121,,5.5,,10.4,4.3,13.8
Water and wastewater treatment plant and system operators,72,,4.5,,8.4,1.7,19.6
Miscellaneous plant and system operators,39,,-,,-,-,-
"Chemical processing machine setters, operators, and tenders",68,,16.2,,4.5,0.8,10.7
"Crushing, grinding, polishing, mixing, and blending workers",100,,15,,14.5,6.8,18.4
Cutting workers,67,,19.2,,14.1,3.5,15.8
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",45,,-,,-,-,-
"Furnace, kiln, oven, drier, and kettle operators and tenders",16,,-,,-,-,-
"Inspectors, testers, sorters, samplers, and weighers",689,,33.4,,11.5,6.7,13.6
Jewelers and precious stone and metal workers,46,,-,,-,-,-
"Medical, dental, and ophthalmic laboratory technicians",95,,50.7,,1.6,8.9,15.9
Packaging and filling machine operators and tenders,261,,52.3,,14.1,8.8,38
Painting workers,150,,15.1,,5.7,4.3,34.9
Photographic process workers and processing machine operators,55,,45.6,,13.3,4.9,18.7
Semiconductor processors,4,,-,,-,-,-
Adhesive bonding machine operators and tenders,9,,-,,-,-,-
"Cleaning, washing, and metal pickling equipment operators and tenders",7,,-,,-,-,-
Cooling and freezing equipment operators and tenders,2,,-,,-,-,-
Etchers and engravers,6,,-,,-,-,-
"Molders, shapers, and casters, except metal and plastic",41,,-,,-,-,-
"Paper goods machine setters, operators, and tenders",35,,-,,-,-,-
Tire builders,19,,-,,-,-,-
Helpers--production workers,59,,34.8,,19.8,2.9,30.6
"Production workers, all other",933,,26.3,,13.7,4,21.5
Transportation and material moving occupations,"8,540",,15.9,,15.9,2.7,21.7
Supervisors of transportation and material moving workers,200,,23,,13.5,4.4,18.4
Aircraft pilots and flight engineers,129,,4.1,,2.7,2.5,5
Air traffic controllers and airfield operations specialists,44,,-,,-,-,-
Flight attendants,88,,77.6,,11.8,5.9,10.5
"Ambulance drivers and attendants, except emergency medical technicians",20,,-,,-,-,-
Bus drivers,558,,45.5,,25.3,2.3,12.9
Driver/sales workers and truck drivers,"3,201",,5.4,,14,1.6,19.3
Taxi drivers and chauffeurs,336,,13.2,,24.8,13.8,16
"Motor vehicle operators, all other",63,,13.3,,14.4,1.4,10.5
Locomotive engineers and operators,41,,-,,-,-,-
"Railroad brake, signal, and switch operators",10,,-,,-,-,-
Railroad conductors and yardmasters,52,,5.6,,16.2,0.7,12.5
"Subway, streetcar, and other rail transportation workers",11,,-,,-,-,-
Sailors and marine oilers,16,,-,,-,-,-
Ship and boat captains and operators,37,,-,,-,-,-
Ship engineers,7,,-,,-,-,-
Bridge and lock tenders,7,,-,,-,-,-
Parking lot attendants,81,,11.6,,23.5,5.3,35.5
Automotive and watercraft service attendants,94,,9.2,,12.9,5.2,12.5
Transportation inspectors,36,,-,,-,-,-
"Transportation attendants, except flight attendants",38,,-,,-,-,-
Other transportation workers,17,,-,,-,-,-
Conveyor operators and tenders,4,,-,,-,-,-
Crane and tower operators,62,,4,,12.3,0.9,12.2
"Dredge, excavating, and loading machine operators",42,,-,,-,-,-
Hoist and winch operators,5,,-,,-,-,-
Industrial truck and tractor operators,537,,7.4,,18.4,1.6,31.3
Cleaners of vehicles and equipment,315,,15.2,,16.8,2.7,35.9
"Laborers and freight, stock, and material movers, hand","1,849",,18.7,,15.9,2.5,23
Machine feeders and offbearers,27,,-,,-,-,-
"Packers and packagers, hand",431,,53.1,,14,3.5,42
Pumping station operators,25,,-,,-,-,-
Refuse and recyclable material collectors,106,,6.6,,24.9,1.4,29.4
Mine shuttle car operators,1,,-,,-,-,-
"Tank car, truck, and ship loaders",4,,-,,-,-,-
"Material moving workers, all other",45,,-,,-,-,-
